Caption,Image Link 1,Image Link 2,Image Link 3,Image Link 4,Image Link 5,Image Link 6,Image URLs,Likes,Media Count,Number of Comments,Post Owner
"Backstage at the Bode FW23 runway show in Paris. The Berkshires Coat, Double-Breasted Corduroy Jacket, Gem Jarvis Dress, and Marston Check Suit Jacket. These and other new collection styles are now available online.

Photographs by @cerrutidraime",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3263554142378633837_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3263554142378611068_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3263554142378610617_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3263554142378452162_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3263554142378402699_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3263554142370098303_17952249.jpg,,1392,6,4,bode
"The Bode Club Bra is inspired by a 1930s bralette. It is hand-appliquéd with leaves and flowers made of silk ribbon. This and other holiday gifts are available at the Bode Women’s Store, located at 79 Worth Street in New York City.",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3262873446492661445_17952249.jpg,,,,,,,3106,1,13,bode
"Bode SS24
The Crane Estate II",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3262200182761862540_17952249.jpg,,,,,,,1245,1,13,bode
"Bode cashmere, for both men and women, at the Bode Women’s Store located at 79 Worth Street in New York City. Bode cashmere is offered in crewneck, rollneck, and polo silhouettes, in multiple gauges and an array of colors. Made in Italy.",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3259257763615497656_17952249.jpg,,,,,,,1075,1,2,bode
The Bode Standard Trouser is made of heavy weight cotton twill. It features a high rise and a straight leg with belt loops and a center back buckle to adjust the fit. Two deep front pockets and a single back patch pocket are modeled after traditional 1940s workwear trousers. Available in a variety of colors online and in our New York and Los Angeles stores.,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3258473547801698494_17952249.jpg,,,,,,,1051,1,3,bode
"Bode SS24
The Crane Estate II",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3256331148942174981_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3256331148925542263_17952249.jpg,,,,,,4596,2,19,bode
"Green River Project’s (@greenriverprojectllc) new upholstery collection in collaboration with @takhartextilearts has been released. The collection shares the same historical references and inspiration as our new Bode Women’s Store. There are several pieces available to view at 79 Worth Street, open daily 11:00-7:00.

Pictured here, Upholstered Club Chair (French Silk & Bode Textile II), 2023
w/ @takhartextilearts
Ed. 12",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3255562731586704650_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3255562731544801827_17952249.jpg,,,,,,1059,2,6,bode
The Sequin Worcester Coat and other new women’s and men’s collection styles will be released Friday at 11am online and in our New York and Los Angeles stores.,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3252778131483622681_17952249.jpg,,,,,,,2725,1,21,bode
"Styling the Deco Crawler dress with Marie and @georgecortina in the studio; photos of my mom in the background. This dress can be worn two ways, pictured here worn backwards. Last dresses available at 79 Worth Street.",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3251193451659395047_17952249.jpg,,,,,,,2627,1,8,bode
"Emma Corrin in The New York Times wearing our Suede Howard Jacket, releasing in February. Photographed by Jeenah Moon and styled by Harry Lambert.",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3250562063742552014_17952249.jpg,,,,,,,4806,1,13,bode
"The Silver Star Slippers at the Bode Women’s Store, 79 Worth Street NYC. Also available online and at our Los Angeles store in men’s and women’s sizes.",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3248322489553181478_17952249.jpg,,,,,,,1717,1,6,bode
"Bode SS24
The Crane Estate II",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3247582913247206047_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3247582913238865992_17952249.jpg,,,,,,781,2,3,bode
"The Bode Women’s Store, located at 79 Worth Street in TriBeCa, New York City. Open 11am-7pm daily. Please direct all inquiries to worth@bode.com or (646) 907-4798",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3246191323458974950_17952249.jpg,,,,,,,3169,1,16,bode
"The Cattle Sweater, available in green, blue, or indigo, is made of 100% wool and available online and at our New York and Los Angeles stores.",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3245468560784066700_17952249.jpg,,,,,,,2667,1,10,bode
"Bode SS24
The Crane Estate II",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3243959563434313911_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3243959563367038202_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3243959563366972806_17952249.jpg,,,,,4386,3,17,bode
"Holiday attire, novelty tees, ornaments and gifts are now available online and in our New York and Los Angeles stores.",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3243220804438659683_17952249.jpg,,,,,,,1320,1,9,bode
"The Bode Women’s Store, now open at 79 Worth Street. All Bode stores will be closed Thursday, November 23rd and will reopen at 11am on Friday, November 24th.",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3241823182879405793_17952249.jpg,,,,,,,1912,1,13,bode
"Carter wears the Wide Leg Snap Trouser in khaki. Inspired by workman’s pants from the 1940s, these trousers are made of heavyweight cotton twill and feature double front pleating and snap closure. The side-buckles fastened to the waistband allow for 1-2” of size adjustment. Also available in midnight, taupe, and cinnamon, online and in our New York and Los Angeles stores.",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3241066159008319686_17952249.jpg,,,,,,,2051,1,6,bode
"The Rosemallow Jacket is inspired by an embroidered quilt, circa 1880s-1910s. It features intricate pink and green floral embroidery on a black cotton velvet ground. Available online and in our New York and Los Angeles stores.",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3240390625823794241_17952249.jpg,,,,,,,3965,1,22,bode
"“Debuted on the runway in Paris in January, a collection dubbed The Crane Estate featured gauzy golden gowns, sequined sheaths, cropped fringed jackets, and jeweled crowns—all striding confidently in a new direction, while still very much rooted in the brand’s signature aesthetic. Those pieces (and much more) are now available in their own dedicated space, tucked behind those silk curtains on Worth Street.” - Andrea Whittle for @wmag",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3239615677844844195_17952249.jpg,,,,,,,2746,1,10,bode
"Sequin Driving Cap at the Paris runway show, captured by Cerruti Draime. Available online and at 79 Worth St.",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3238827276711361327_17952249.jpg,,,,,,,1749,1,10,bode
"The Rosette Beaded Frame Bag is a historical reproduction of an evening bag, circa 1920s-1930s. It features a beaded floral motif and beaded loop trim. The interior is adorned with rosette trim. Available online, at our Los Angeles store, and at the Bode Women’s Store at 79 Worth Street, New York City.",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3238211508172798561_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3238211508156088901_17952249.jpg,,,,,,5279,2,33,bode
"New men’s and women’s collection styles, including the Lamé Lace Dress, are now available online and in our New York and Los Angeles stores. The Bode Women’s Store, located at 79 Worth Street, is now open from 11am-7pm daily.

Photograph by Cerruti Draime.",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3238145180103852122_17952249.jpg,,,,,,,4342,1,13,bode
"The Women’s Store is officially open, 79 Worth Street, 11am-7pm daily.",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3237440220302951689_17952249.jpg,,,,,,,3466,1,20,bode
"We are pleased to announce the opening of the Bode Women’s Store. Located at 79 Worth Street in New York City, the store showcases the complete women’s collection including daywear, eveningwear, lingerie, handbags, jewelry, shoes, and one-of-a-kind.

The store is designed by @greenriverprojectllc and is open daily from 11am-7pm. Please direct all inquiries to worth@bode.com or by phone at (646) 907-4798",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3236796543000153728_17952249.jpg,,,,,,,8854,1,84,bode
Coming soon…,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3236135923376502809_17952249.jpg,,,,,,,1713,1,13,bode
"My beloved, inspiring aunt…who taught me about the beauty of quilts and collecting and craft…would have been 70 today ❣️ missing you",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3233924748173741595_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3233924748039516446_17952249.jpg,,,,,,5434,2,32,bode
"The Beaded Solid Cardigan is inspired by a vintage sweater, circa 1970s. It is made in Italy of fine Merino wool and features subtle constellations of rhinestones. Available online and in our New York and Los Angeles stores.

Photograph by Cerruti Draime",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3231704778555570861_17952249.jpg,,,,,,,1944,1,11,bode
"Carter wears the Niagara Souvenir Short Sleeve Shirt which is inspired by a novelty souvenir tablecloth, circa 1940s. It features various illustrations of Niagara Falls. Available online and in our New York and Los Angeles stores.",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3228054560542787328_17952249.jpg,,,,,,,3541,1,16,bode
"Bode SS24
The Crane Estate II",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3226584594958111875_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3226584594823951674_17952249.jpg,,,,,,1129,2,6,bode
The Alphabet Pullover is made from a blend of cotton and baby Alpaca wool at a woman owned and operated network of artisans in Peru. Available online and in our New York and Los Angeles stores.,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3225107049754647667_17952249.jpg,,,,,,,1318,1,8,bode
"Bode SS24
The Crane Estate II",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3223639852821542645_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3223639852813168889_17952249.jpg,,,,,,5395,2,22,bode
"Our signature Opera Pump is now available in black patent leather. The Bode Opera Pump is inspired by traditional men's evening dress slippers and is made by a third-generation Italian shoe factory that was once a small artisan shop. The shoe features a wide grosgrain bow across the vamp.

New collection styles are now available online and in our New York and Los Angeles stores.",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3222894794988122565_17952249.jpg,,,,,,,873,1,4,bode
"Carter wears the ivory Linen Double Breasted Suit Jacket and Trousers with the Sheer Camel Long Sleeve Shirt. Available online and in our New York and Los Angeles stores.

All custom suiting inquiries may be directed to finetailoring@bode.com",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3220797340125976986_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3220797340083906893_17952249.jpg,,,,,,1421,2,5,bode
"The Lime Tuft Dress is made from a chenille cotton bedspread from the early 20th century. The word chenille comes from the French word for caterpillar and refers to a needlework technique that uses tufts of yarn.

From the 1910s to the 1950s, the chenille trade flourished across communities in the South and Appalachia. ""Tufters,"" as the makers of chenille called themselves, advertised by hanging their blankets along the highways. This bedspread was tufted with a green bunting pattern.

This and other women’s one-of-a-kind styles available online and in the Bode One-Of-A-Kind Shoppe at 54 Hester Street.",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3220065889319367399_17952249.jpg,,,,,,,2320,1,12,bode
"Bode SS24
The Crane Estate II",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3219340805080295422_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3219340805038340445_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3219340805021623428_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3219340805021500515_17952249.jpg,,,,3383,4,9,bode
"The Velvet Ribbon Juliet Cap is inspired by one from the 1920s. A ""Juliet cap"" is a type of close-fitting women's hat, usually made of openwork crochet or mesh. They were named for the type of cap often drawn on Shakespeare's Juliet and were highly popular among brides in the 1920s and 1930s. The cap is woven from velvet ribbon and entirely hand-made. Available online and in our New York and Los Angeles stores.

Photographs by Cerruti Draime",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3218590159402095287_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3218590159234327386_17952249.jpg,,,,,,6536,2,18,bode
Our Los Angeles store is now showcasing all available women’s collection styles. Open 11:00am-7:00pm daily. 7007 Melrose Avenue.,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3217888848887929451_17952249.jpg,,,,,,,3374,1,15,bode
Carter wears the Treehouse Knit Pullover and Midnight Grid Pajama Pants. Available online and in our New York and Los Angeles stores.,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3217118588690883436_17952249.jpg,,,,,,,9116,1,19,bode
"Bode SS24
The Crane Estate II",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3215693412963038276_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3215693412954678012_17952249.jpg,,,,,,1316,2,7,bode
The Chevron Pullover is made from 100% Merino wool. It features an exaggerated ribbed neckline and horizontal chevron stripes in navy and burgundy on a cream ground. Available online and in our New York and Los Angeles stores.,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3214979487929882601_17952249.jpg,,,,,,,2607,1,9,bode
"The Linen Double Breasted Suit Jacket and Linen Suiting Trousers have been restocked online and at Bode Fine Tailoring. A staple silhouette that may be styled as a set or as separates, the suit is inspired by midcentury American suiting and is made in the USA.

Bode Fine Tailoring offers made-to-measure suiting and custom projects alongside an assortment of premium one-of-a-kind pieces, ready-to-wear suits, and dress accessories.

By private appointment only.

finetailoring@bode.com
(929) 422-0952",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3213492906106733748_17952249.jpg,,,,,,,2145,1,7,bode
"Bode FW23
The Crane Estate

New women’s collection styles and one-of-a-kind now available online and in our New York and Los Angeles stores.

Photograph by Cerruti Draime",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3212771745965420231_17952249.jpg,,,,,,,912,1,5,bode
"Bode SS24
The Crane Estate II",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3211311987463579390_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3211311987446845279_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3211311987438524093_17952249.jpg,,,,,7047,3,23,bode
The State Seal Long Sleeve Shirt is inspired by a midcentury novelty souvenir scarf. It is 100% silk and features printed illustrations of various state seals and attractions. Available online and in our New York and Los Angeles stores.,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3210654825506830904_17952249.jpg,,,,,,,1866,1,15,bode
"Bode SS24
The Crane Estate II",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3208493545316420476_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3208493545299752140_17952249.jpg,,,,,,1257,2,7,bode
"The Bode Bullion Tie backstage at the FW23 runway show. New men’s collection styles now available online and in our New York and Los Angeles stores.

Photograph by Cerruti Draime",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3207675788475793774_17952249.jpg,,,,,,,1125,1,7,bode
"Carter wears the New York City Map Shirt. Inspired by a 1960s novelty scarf, the 100% silk shirt is printed with a map of Manhattan and photo illustrations of various landmarks. Available with short or long sleeves, online and in our New York and Los Angeles stores.",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3207031322828221072_17952249.jpg,,,,,,,2730,1,7,bode
"Tilda Swinton in The Originals Issue of @wmag. Swinton wears the FW23 Nobleman Coat and Trousers, Appenzeller House Shoes, and a vintage blouse from Bode’s private collection.

Photography: Tim Walker
Styling: Sara Moonves
Costume Design: Sandy Powell",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3206290815151911522_17952249.jpg,,,,,,,10536,1,59,bode
"Marie wears the Sequin Club Shorts from the FW23 collection, The Crane Estate. Available online and in our New York and Los Angeles stores.",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3205568768318886464_17952249.jpg,,,,,,,6856,1,25,bode
"A one-of-a-kind dress cut from an antique fringed tapestry with metallic gold, blue, and pink floral motifs woven into a black ground. One-of-a-kind pieces in women’s silhouettes are now available online and in the Bode One-Of-A-Kind Shoppe located at 54 Hester Street. All inquiries may be directed to ooakshoppe@bode.com or by phone at (929) 692-0628",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3201904678853481412_17952249.jpg,,,,,,,1302,1,6,bode
"Carter wears the Jeweled Ivy Jacket and Trousers. Inspired by a clutch purse circa 1940s, the set features gold bullion embroidery and rhinestones throughout. A few sizes remaining online and in our New York and Los Angeles stores. Contact (929) 810-7609 for availability.",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3200452930398046289_17952249.jpg,,,,,,,3206,1,6,bode
"Noel wears the Printed Farm Polo. Inspired by a hand-painted children’s tee from the 1940s, the polo features an illustrated farm scene printed in a pastel palette on a pale pink Merino wool ground. Available online and in our New York shop.",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3199719579848353422_17952249.jpg,,,,,,,753,1,3,bode
The Running Scottie Long Sleeve Shirt is inspired by a silk scarf circa 1950s-1970s. Printed scarves were popular as gifts and souvenirs throughout the mid-twentieth century. The shirt is 100% silk and features printed illustrations of Scottie dogs on a goldenrod ground. Available online and in our New York and Los Angeles shops.,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3199005869152636667_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3199005869093900409_17952249.jpg,,,,,,3709,2,16,bode
"Bode SS24
The Crane Estate II",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3198271174253175621_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3198271174244694765_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3198271174169243594_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3198271174169163003_17952249.jpg,,,,3495,4,5,bode
"Our one-of-a-kind Wheel Spoke Long Sleeve Shirt is made from a heavyweight crochet lace tablecloth circa 1930s-1950s. These types of domestic textiles were popular in the mid-twentieth century, when the female-centric practice of crocheting expanded during World War II. Crocheting was considered to be a method of supporting troops during the war and rebuilding society in the years following.

This and other one-of-a-kind pieces made from crochet lace are available online and in the Bode One-Of-A-Kind Shoppe located at 54 Hester Street. Inquiries may be directed to ooakshoppe@bode.com or by phone at (929) 692-0628",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3197577241118373689_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3197577241118352931_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3197577241118220225_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3197577241118197834_17952249.jpg,,,,684,4,4,bode
"Our Kaleidoscope Quilt Jacket is inspired by a cotton quilt from the 1940s. It features a rotary printed geometric motif in shades of caramel, coral, carmine, and cream. Available online and in our New York and Los Angeles shops.",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3196846989320539643_17952249.jpg,,,,,,,2752,1,13,bode
"Bode One-Of-A-Kind Shoppe offers home goods and garments for men, women, and children. Made from antique and vintage textiles, each piece is unique and many feature intricate hand-mending. Open daily from 11am-7pm. Located at 54 Hester Street. All inquiries may be directed to ooakshoppe@bode.com or by phone at (929) 692-0628.",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3196136308975811613_17952249.jpg,,,,,,,2663,1,24,bode
Our Embellished Cycling Polo is inspired by a vintage cycling jersey circa 1960s. It is made of black Merino wool and is studded with subtle constellations of rhinestones. Available online and in our New York and Los Angeles shops.,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3195462734303285616_17952249.jpg,,,,,,,718,1,5,bode
Our Striped Fruit Bowl Trousers are 100% linen and are inspired by an antique domestic textile. They feature a historical reproduction of a fruit bowl motif with vertical cream and cantaloupe stripes. Available online and in our New York and Los Angeles shops.,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3194778694853714887_17952249.jpg,,,,,,,1887,1,6,bode
"Bode SS24
The Crane Estate II",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3193256640249346506_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3193256640106981854_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3193256640056600316_17952249.jpg,,,,,2491,3,8,bode
"@maudeapatow in Bode SS24 at Vogue World in London.

Photography by German Larkin
Styling by Harry Lambert",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3192573726365219319_17952249.jpg,,,,,,,13412,1,81,bode
"@badbunnypr for the October cover of Vanity Fair wearing our Alpine Pullover. This and other new men’s collection styles now available online and in stores.

Photography by Szilveszter Makó
Styling by Nicole Martine Chapoteau",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3192486873032863610_17952249.jpg,,,,,,,7267,1,56,bode
Trousers made from a vintage painter’s drop cloth hanging in the new Bode One-Of-A-Kind Shoppe at 54 Hester Street. Open daily 11am-7pm.,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3191789204752913968_17952249.jpg,,,,,,,4164,1,18,bode
Carter wearing our Embroidered Buckaroo Shirt on a road trip through the American South with photographer Fanny Latour-Lambert. Available online and in our New York and Los Angeles shops.,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3190348158978345295_17952249.jpg,,,,,,,3575,1,19,bode
"We are pleased to be included in the exhibition Objects of Permanence, curated by Mellány Sanchez for Abrons Arts Center in coordination with the Tenement Museum.

The exhibit spotlights the rich histories of the Puerto Rican and other migrant community labor forces in New York City’s garment industry.
 
Free and open to the public from 12:45-6:15pm through September 14th. 466 Grand Street, Manhattan.",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3189708024788549873_17952249.jpg,,,,,,,3020,1,9,bode
"Bode SS24
The Crane Estate II",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3188904754411025102_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3188904754394325316_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3188904754394237280_17952249.jpg,,,,,3934,3,9,bode
"We are pleased to announce the opening of the Bode One-Of-A-Kind Shoppe. Located at 54 Hester Street in New York City, the One-Of-A-Kind Shoppe carries a curated selection of premium one-of-a-kind pieces for men, women, and children. Our one-of-a-kind styles are cut from vintage and antique textiles and often feature intricate hand mending. The shop is designed by @greenriverprojectllc and is open daily from 11am-7pm. Please direct all inquiries to ooakshoppe@bode.com or by phone at (929) 692-0628",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3188851600306947720_17952249.jpg,,,,,,,5378,1,17,bode
"Gracie Abrams in our Buffalo Tee and Duo Drake Shorts, now available online and in our Los Angeles shop.",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3188130343101711092_17952249.jpg,,,,,,,4917,1,14,bode
"Bode One-Of-A-Kind Shoppe, located at 54 Hester Street, opens tonight from 6:00-9:00PM.

The One-Of-A-Kind Shoppe is open 11:00-7:00PM daily. Email ooakshoppe@bode.com for inquiries.",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3187472659507621496_17952249.jpg,,,,,,,2976,1,10,bode
Marisa wearing our Velvet Falmouth Vest and Eve Blouse. These and other new women’s styles now available online and in our Los Angeles shop.,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3187397177185631612_17952249.jpg,,,,,,,2876,1,7,bode
"Bode SS24
The Crane Estate II",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3180216237485175362_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3180216237459979524_17952249.jpg,,,,,,4152,2,8,bode
Our limited-run Suede Clover Welding Jacket is inspired by a pair of riding chaps from the 1950s. Available online and in our New York and Los Angeles shops. For additional size availability call or text (929) 810-7609.,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3177335709748603139_17952249.jpg,,,,,,,7914,1,19,bode
"Vogue September Issue Last Look

“In true Emily Bode fashion, this piece is composed of restored vintage materials—in this case, a 1920s beaded fringe that the designer suspects was made to trim lampshades. With looped handles of wrapped ribbon and tiers of musical pearls, it’s the glorious result of over 60 hours of handwork.”

Made to order. Price upon request. Email finetailoring@bode.com

Photography by Guanyu Xu",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3176539920642317525_17952249.jpg,,,,,,,933,1,7,bode
"My mom in the snow…our first release of womenswear, a selection of The Crane Estate collection and one-of-a-kind pieces, is launching tomorrow 11am et. Available exclusively at bode.com.",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3171665631640443691_17952249.jpg,,,,,,,6586,1,45,bode
"Bode SS24
The Crane Estate II",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3169327164973234099_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3169327164973129875_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3169327164914456625_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3169327164906053298_17952249.jpg,,,,13793,4,49,bode
"Just a few units remaining of our limited-run Shaker Museum Tees. Available in kid’s and adult sizes, exclusively at our Hester Street shop and at “The Commercialization of Shaker Knits” exhibit.

100% of proceeds benefit Shaker Museum.

“The Commercialization of Shaker Knits” is on view at Kinderhook Knitting Mill Thursdays-Saturdays from 10am-6pm and Sundays from 11am-4pm. Through September 10th, 2023. 8 Hudson Street, Kinderhook, NY.

For more information, visit shakermuseum.us",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3166446274924327823_17952249.jpg,,,,,,,1135,1,5,bode
"Edith Marion Barton’s sewing sampler with detailed handwritten notes, dated 1913. The book contains 37 handmade textile samples demonstrating the student’s mastery of various sewing techniques.

“Sewing.
I. Position: Sit erect, well back on chair with both feet on the floor. Hold elbows close to the body and hold work well up. Bend from the hips, not from the waist or shoulders.”

Sewing samplers such as this would be compiled by young women enrolled in courses teaching needlework, sewing, and embroidery during the late 19th and early 20th centuries.

Embroidery is a foundational technique at Bode, appearing throughout our collections and one-of-a-kind pieces. Pictured above is our Mesh Lilium Short Sleeve Shirt, inspired by a hand-embroidered lace doily from the 1920s. Available online and in our New York and Los Angeles shops.",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3165711435422035371_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3165711435363361252_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3165711435313126906_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3165711435313083554_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3165711435304592930_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3165711435296154873_17952249.jpg,,3721,6,16,bode
